SynsetTerms,PosScore,NegScore
rough,0.00,0.50
hopeless,0.00,0.38
menial,0.00,0.38
lubberly,0.00,0.50
rusty,0.50,0.25
semiskilled,0.63,0.00
weak,0.13,0.50
verbal,0.00,0.00
numerical,0.00,0.00
harsh,0.00,0.00
large-grained,0.00,0.63
mealy,0.00,0.00
granulated,0.00,0.00
plushy,0.25,0.00
open,0.00,0.00
fine,0.00,0.00
tight,0.00,0.00
fine-grained,0.00,0.00
dustlike,0.00,0.00
floury,0.50,0.00
nongranular,0.00,0.63
small-grained,0.00,0.00
small,0.00,0.00
superfine,0.00,0.50
smoky,0.00,0.50
blackened,0.00,0.00
smoking,0.13,0.00
smoke-filled,0.00,0.00
smokeless,0.13,0.00
smoke-free,0.50,0.00
slippy,0.00,0.00
lubricious,0.13,0.13
nonstick,0.00,0.00
slick,0.00,0.00
sliding,0.00,0.00
slimy,0.00,0.50
slithering,0.00,0.00
slithery,0.38,0.25
nonslippery,0.00,0.50
nonskid,0.00,0.00
nonslip,0.00,0.00
lubricated,0.00,0.25
unlubricated,0.00,0.13
smooth,0.25,0.00
uncreased,0.25,0.00
even-textured,0.00,0.00
fast,0.00,0.00
smooth-textured,0.13,0.00
glassy,0.25,0.00
unseamed,0.00,0.00
streamlined,0.25,0.13
velvety,0.00,0.13
unsmooth,0.00,0.38
scratchy,0.00,0.38
cracked,0.00,0.25
barky,0.00,0.13
rugged,0.00,0.00
bullate,0.00,0.25
bumpy,0.00,0.63
roughened,0.00,0.13
twilled,0.00,0.00
ribbed,0.00,0.13
mountainous,0.00,0.13
crushed,0.13,0.13
tweedy,0.00,0.25
imbricated,0.00,0.13
scurfy,0.00,0.50
squamulose,0.00,0.38
seamed,0.00,0.38
potholed,0.00,0.13
rockbound,0.00,0.00
stony,0.00,0.13
shingly,0.00,0.13
roughish,0.00,0.50
rugose,0.00,0.13
sandpapery,0.00,0.25
saw-like,0.00,0.00
scabby,0.00,0.38
shaggy,0.00,0.50
textured,0.13,0.00
warty,0.00,0.50
smooth,0.13,0.38
rough,0.00,0.63
rugged,0.00,0.00
canaliculate,0.00,0.00
corrugated,0.00,0.00
rutty,0.00,0.50
unfurrowed,0.00,0.50
smooth,0.13,0.13
entire,0.00,0.00
repand,0.25,0.00
sinuate,0.13,0.00
undulate,0.25,0.00
untoothed,0.38,0.00
rough,0.25,0.00
bidentate,0.25,0.00
biserrate,0.25,0.00
ciliated,0.25,0.00
scalloped,0.25,0.00
crenulated,0.25,0.00
crispate,0.13,0.25
dentate,0.25,0.00
denticulate,0.25,0.00
emarginate,0.38,0.00
toothed,0.13,0.00
fimbriate,0.38,0.00
laciniate,0.13,0.00
lacerated,0.13,0.00
pectinate,0.25,0.00
rimose,0.00,0.00
runcinate,0.13,0.00
toothed,0.13,0.00
serrulate,0.50,0.00
spinose,0.25,0.00
rifled,0.00,0.00
unrifled,0.00,0.50
social,0.00,0.00
ethnical,0.00,0.00
gregarious,0.00,0.25
interpersonal,0.00,0.00
multiethnic,0.00,0.00
unsocial,0.00,0.63
alone,0.00,0.00
asocial,0.00,0.88
asocial,0.00,0.00
solitary,0.13,0.00
withdrawn,0.00,0.13
accompanied,0.00,0.00
unaccompanied,0.00,0.25
solitary,0.13,0.25
stranded,0.00,0.00
tod,0.38,0.00
unattended,0.00,0.25
attended,0.00,0.00
unaccompanied,0.00,0.50
a_cappella,0.00,0.00
solo,0.00,0.00
gregarious,0.00,0.00
social,0.00,0.00
ungregarious,0.00,0.38
solitary,0.00,0.63
gregarious,0.00,0.00
clustered,0.00,0.38
ungregarious,0.00,0.38
tufted,0.00,0.13
seamed,0.00,0.00
seamy,0.25,0.63
stitched,0.00,0.00
seamless,0.00,0.63
broadloom,0.25,0.00
circular-knit,0.00,0.00
unseamed,0.00,0.00
seeded,0.00,0.00
unseeded,0.38,0.13
seedy,0.00,0.00
black-seeded,0.00,0.25
several-seeded,0.00,0.00
seeded,0.00,0.00
seeded,0.00,0.00
single-seeded,0.00,0.00
small-seeded,0.00,0.00
three-seeded,0.00,0.00
white-seeded,0.13,0.00
seedless,0.00,0.25
seeded,0.00,0.00
stoneless,0.00,0.00
shuttered,0.00,0.13
closed,0.00,0.00
unshuttered,0.00,0.75
sleeved,0.00,0.25
sleeveless,0.00,0.00
sociable,0.63,0.13
clubbable,0.38,0.00
clubby,0.25,0.13
companionable,0.00,0.38
good-time,0.75,0.00
outgoing,0.13,0.13
social,0.00,0.00
unsociable,0.00,0.75
antisocial,0.13,0.00
ungregarious,0.00,0.75
sold,0.38,0.00
oversubscribed,0.00,0.00
sold-out,0.13,0.00
unsold,0.00,0.75
soled,0.00,0.25
soleless,0.13,0.00
solid,0.00,0.00
solidified,0.00,0.00
concrete,0.00,0.00
jellied,0.00,0.00
dry,0.00,0.00
semisolid,0.00,0.00
solid-state,0.00,0.00
solid-state,0.00,0.00
liquid,0.00,0.38
runny,0.25,0.00
liquifiable,0.63,0.00
liquified,0.00,0.00
semiliquid,0.00,0.00
watery,0.00,0.00
gaseous,0.00,0.25
airlike,0.00,0.00
aerosolized,0.00,0.00
evaporated,0.00,0.00
volatilized,0.00,0.00
gassy,0.13,0.25
vapourous,0.00,0.00
solid,0.00,0.00
massive,0.00,0.00
hollow,0.00,0.00
cavernous,0.50,0.00
sunken,0.00,0.00
fistulous,0.00,0.00
vasiform,0.00,0.00
soluble,0.25,0.00
alcohol-soluble,0.00,0.13
dissolvable,0.50,0.00
fat-soluble,0.00,0.00
meltable,0.50,0.00
oil-soluble,0.00,0.00
water-soluble,0.00,0.00
insoluble,0.25,0.00
water-insoluble,0.00,0.00
soluble,0.00,0.25
answerable,0.63,0.00
solvable,0.00,0.25
insoluble,0.00,0.50
unsolvable,0.38,0.00
solved,0.00,0.00
unsolved,0.13,0.13
some,0.00,0.00
whatsoever,0.00,0.00
both,0.00,0.00
several,0.00,0.50
no,0.00,0.00
nary,0.00,0.00
none,0.00,0.50
zero,0.25,0.50
all,0.00,0.00
each,0.00,0.00
every,0.00,0.00
every_last,0.13,0.00
every,0.13,0.00
sophisticated,0.63,0.00
worldly,0.25,0.00
well-informed,0.13,0.00
urbane,0.50,0.00
worldly-wise,0.25,0.00
naive,0.63,0.13
wide-eyed,0.88,0.00
credulous,0.50,0.00
gullible,0.50,0.25
innocent,0.38,0.13
simple-minded,0.25,0.38
unworldly,0.00,0.63
sound,0.75,0.00
secure,0.50,0.00
healthy,0.50,0.00
solid,0.00,0.00
stable,0.50,0.13
unsound,0.00,0.75
speculative,0.00,0.75
long,0.00,0.50
wildcat,0.00,0.25
sound,0.63,0.13
substantial,0.75,0.00
unsound,0.00,0.88
corroded,0.00,0.13
rotten,0.00,0.25
effervescent,0.00,0.00
spumy,0.00,0.38
charged,0.00,0.13
fizzy,0.00,0.00
carbonated,0.00,0.38
noneffervescent,0.00,0.25
flat,0.00,0.38
uncarbonated,0.00,0.50
sparkling,0.00,0.00
still,0.00,0.25
specialized,0.00,0.00
differentiated,0.25,0.00
special,0.13,0.00
specialistic,0.50,0.00
unspecialized,0.00,0.75
generalized,0.00,0.75
spiny,0.25,0.00
spineless,0.38,0.38
spirited,0.50,0.00
knockabout,0.00,0.63
con_brio,0.50,0.00
gallant,0.50,0.00
high-spirited,0.38,0.25
spunky,0.75,0.13
saucy,0.50,0.25
racy,0.50,0.00
mettlesome,0.50,0.13
resilient,0.25,0.00
whipping,0.38,0.00
sprightly,0.50,0.13
vivacious,0.63,0.00
zesty,0.50,0.25
spiritless,0.00,0.25
apathetic,0.13,0.63
bloodless,0.00,0.38
listless,0.00,0.75
heartless,0.50,0.13
thin,0.50,0.25
spontaneous,0.25,0.00
unprompted,0.00,0.00
intuitive,0.00,0.00
natural,0.25,0.13
induced,0.00,0.63
evoked,0.00,0.00
iatrogenic,0.00,0.00
spoken,0.00,0.25
verbalized,0.00,0.00
unwritten,0.00,0.00
verbal,0.00,0.00
word-of-mouth,0.00,0.00
written,0.00,0.00
left-slanting,0.00,0.00
cursive,0.00,0.00
engrossed,0.00,0.00
in_writing,0.00,0.00
handwritten,0.00,0.00
holographic,0.00,0.00
inscribed,0.00,0.00
longhand,0.00,0.00
scrivened,0.00,0.25
shorthand,0.00,0.00
voiced,0.00,0.00
voiceless,0.00,0.00
whispered,0.00,0.25
written,0.00,0.00
statute,0.00,0.00
unwritten,0.38,0.25
common-law,0.00,0.00
vocalic,0.00,0.63
vowellike,0.13,0.00
consonantal,0.38,0.13
stoppable,0.63,0.00
abatable,0.63,0.00
unstoppable,0.00,0.63
unbeatable,0.00,0.25
syllabic,0.00,0.00
nonsyllabic,0.00,0.00
syllabic,0.00,0.00
disyllabic,0.25,0.25
monosyllabic,0.25,0.25
octosyllabic,0.25,0.25
pentasyllabic,0.25,0.25
polysyllabic,0.13,0.38
decasyllabic,0.00,0.00
syllabled,0.00,0.13
unsyllabic,0.00,0.50
unsyllabled,0.00,0.63
syllabic,0.00,0.00
accentual,0.00,0.00
quantitative,0.00,0.00
stable,0.00,0.00
unfluctuating,0.00,0.75
lasting,0.00,0.00
stabile,0.00,0.00
stabilized,0.00,0.00
unstable,0.25,0.38
coseismic,0.00,0.00
tippy,0.25,0.00
volatile,0.00,0.00
wonky,0.50,0.00
rocky,0.00,0.25
seismic,0.00,0.00
tipsy,0.13,0.00
top-heavy,0.00,0.00
tottering,0.00,0.00
volcanic,0.13,0.13
staccato,0.13,0.00
disconnected,0.13,0.38
smooth,0.00,0.00
staged,0.00,0.00
unstaged,0.00,0.63
unperformed,0.00,0.13
standard,0.25,0.00
definitive,0.50,0.13
canonical,0.13,0.00
textbook,0.00,0.00
criterional,0.00,0.00
nonstandard,0.13,0.75
standard,0.38,0.38
modular,0.00,0.50
regular,0.13,0.25
regulation,0.00,0.13
standardized,0.38,0.25
stock,0.00,0.00
nonstandard,0.13,0.88
substandard,0.00,0.25
nonnormative,0.00,0.75
standard,0.13,0.00
acceptable,0.63,0.00
classical,0.00,0.13
nonstandard,0.00,0.75
bad,0.00,0.50
unaccepted,0.00,0.88
starchy,0.00,0.00
starchlike,0.25,0.13
starchless,0.13,0.25
starry,0.00,0.38
comet-like,0.00,0.13
sparkling,0.13,0.00
starlike,0.00,0.13
starlit,0.00,0.00
starless,0.00,0.63
nourished,0.38,0.00
corn-fed,0.00,0.00
replete,0.38,0.13
well-nourished,0.00,0.00
overfed,0.00,0.00
stall-fed,0.00,0.00
malnourished,0.00,0.63
foodless,0.00,0.25
undernourished,0.00,0.38
starving,0.00,0.38
unfed,0.00,0.38
unnourished,0.00,0.13
steady,0.13,0.63
steady-going,0.50,0.00
regular,0.13,0.00
firm,0.00,0.50
unwavering,0.25,0.38
steadied,0.13,0.00
sure,0.13,0.63
surefooted,0.00,0.63
unsteady,0.13,0.00
jerky,0.00,0.75
spastic,0.00,0.88
faltering,0.00,0.00
flickering,0.25,0.00
fluctuating,0.00,0.25
palpitating,0.00,0.00
trembling,0.00,0.25
tremulous,0.00,0.50
shifty,0.00,0.00
shuddering,0.00,0.13
tottery,0.38,0.13
uneven,0.13,0.38
wobbling,0.00,0.13
stemmed,0.00,0.00
stemless,0.00,0.63
stemmed,0.00,0.00
stimulating,0.13,0.00
thought-provoking,0.13,0.00
exciting,0.25,0.00
salty,0.38,0.00
stirring,0.75,0.25
thrilling,0.00,0.50
unstimulating,0.13,0.13
flat,0.25,0.25
juiceless,0.50,0.25
vapid,0.50,0.13
depressant,0.50,0.00
tranquillizing,0.25,0.50
narcotizing,0.13,0.00
relaxant,0.13,0.50
soporific,0.00,0.25
stimulative,0.50,0.00
adrenocorticotropic,0.38,0.13
analeptic,0.00,0.00
excitatory,0.25,0.13
irritative,0.13,0.13
stimulating,0.25,0.00
stomatous,0.00,0.00
mouthlike,0.00,0.00
mouthless,0.00,0.50
straight,0.00,0.13
aligned,0.00,0.00
unbent,0.00,0.13
untwisted,0.00,0.13
crooked,0.13,0.38
akimbo,0.00,0.00
anfractuous,0.00,0.25
hooked,0.00,0.00
wonky,0.00,0.00
writhen,0.00,0.38
refractive,0.13,0.00
geniculate,0.00,0.00
knotty,0.00,0.25
malposed,0.50,0.25
reflexed,0.00,0.00
squiggly,0.00,0.00
winding,0.00,0.13
warped,0.00,0.00
windblown,0.00,0.00
wry,0.00,0.00
zigzag,0.00,0.00
straight,0.00,0.38
trabeated,0.00,0.00
uncurving,0.00,0.00
curving,0.13,0.13
bowed,0.13,0.00
curvilinear,0.13,0.25
eellike,0.00,0.00
sickle-shaped,0.00,0.00
curvy,0.00,0.00
flexuous,0.13,0.00
hooklike,0.13,0.00
incurved,0.00,0.00
recurved,0.00,0.00
semicircular,0.00,0.00
snaky,0.00,0.00
wiggly,0.00,0.00
sinusoidal,0.00,0.00
upcurved,0.00,0.00
coiled,0.13,0.00
whorled,0.00,0.00
convoluted,0.13,0.00
involute,0.13,0.00
rolled,0.13,0.00
wound,0.00,0.00
uncoiled,0.00,0.50
uncurled,0.00,0.13
straight,0.63,0.38
straightforward,0.25,0.63
transparent,0.50,0.25
straightarrow,0.88,0.13
crooked,0.25,0.63
underhanded,0.25,0.50
stressed,0.00,0.00
emphatic,0.25,0.00
masculine,0.00,0.00
unstressed,0.00,0.75
feminine,0.00,0.00
weak,0.13,0.25
unemphatic,0.13,0.25
tonic,0.00,0.00
unaccented,0.00,0.00
strong,0.50,0.00
beardown,0.38,0.25
beefed-up,0.25,0.00
sinewy,0.13,0.00
bullnecked,0.00,0.00
bullocky,0.25,0.00
fortified,0.00,0.00
severe,0.25,0.25
weapons-grade,0.25,0.50
ironlike,0.50,0.00
powerful,0.38,0.00
noticeable,0.13,0.00
strengthened,0.00,0.00
robust,0.38,0.00
stiff,0.13,0.00
vehement,0.38,0.00
virile,0.38,0.25
well-set,0.38,0.00
weak,0.13,0.50
anemic,0.13,0.13
enervated,0.00,0.50
feeble,0.00,0.50
lame,0.13,0.38
flimsy,0.00,0.38
shoddy,0.00,0.63
wishy-washy,0.25,0.50
wan,0.00,0.50
puny,0.25,0.75
vulnerable,0.50,0.25
weakened,0.00,0.00
unregenerate,0.00,0.63
cantankerous,0.00,0.63
stroppy,0.00,0.63
pigheaded,0.13,0.63
unyielding,0.00,0.75
cross-grained,0.00,0.88
determined,0.00,0.50
mulish,0.00,0.13
stiff-necked,0.00,0.63
strong-willed,0.00,0.00
docile,0.50,0.00
tame,0.63,0.00
sheeplike,0.13,0.25
yielding,0.25,0.00
subordinate,0.00,0.25
feudatory,0.00,0.25
ruled,0.00,0.00
subject,0.00,0.00
subservient,0.13,0.38
insubordinate,0.00,0.88
contumacious,0.00,0.63
unruly,0.00,0.63
mutinous,0.00,0.00
rebellious,0.00,0.25
successful,0.63,0.00
boffo,0.50,0.13
thriving,0.50,0.00
in,0.00,0.00
made,0.25,0.00
no-hit,0.00,0.00
productive,0.63,0.00
self-made,0.25,0.00
sure-fire,0.25,0.00
triple-crown,0.38,0.00
triple-crown,0.38,0.00
winning,0.50,0.00
unsuccessful,0.00,0.50
attempted,0.00,0.25
thwarted,0.00,0.50
washed-up,0.00,0.63
down-and-out,0.00,0.25
unrewarded,0.25,0.00
hitless,0.00,0.50
no-win,0.00,0.00
out,0.00,0.00
scoreless,0.00,0.50
self-defeating,0.13,0.00
unrealized,0.00,0.50
unplaced,0.00,0.63
winless,0.00,0.25
sufficient,0.13,0.75
enough,0.13,0.00
comfortable,0.00,0.38
insufficient,0.13,0.88
low,0.00,0.50
short,0.00,0.63
skimpy,0.00,0.13
short,0.25,0.38
shy,0.00,0.00
sugary,0.00,0.00
sugar-coated,0.00,0.13
syrupy,0.00,0.00
honeylike,0.00,0.25
sweetened,0.00,0.00
sugarless,0.00,0.38
unsugared,0.00,0.13
unsweetened,0.00,0.38
superior,0.63,0.00
patronizing,0.25,0.13
high,0.38,0.13
preeminent,0.63,0.13
upper-level,0.63,0.00
olympian,0.88,0.00
superordinate,0.50,0.00
upper,0.75,0.00
inferior,0.00,0.50
small,0.00,0.88
indifferent,0.13,0.88
low-level,0.00,0.63
middle-level,0.13,0.25
outclassed,0.00,0.38
superior,0.63,0.00
tops,0.63,0.00
banner,0.88,0.00
select,0.00,0.00
brag,0.88,0.00
superb,0.88,0.00
capital,0.00,0.00
select,0.63,0.00
splendid,1.00,0.00
gilt-edged,0.75,0.00
superlative,0.88,0.00
high-performance,0.38,0.00
outstanding,0.75,0.00
premium,0.75,0.00
pukka,0.75,0.25
shining,0.75,0.00
spiffing,0.88,0.00
supreme,0.75,0.00
topping,1.00,0.00
transcendent,0.75,0.00
weapons-grade,0.25,0.13
well-made,0.50,0.00
inferior,0.00,0.88
bad,0.00,0.63
base,0.00,0.38
tinny,0.13,0.88
bush-league,0.13,0.88
tawdry,0.00,1.00
common,0.22,0.78
coarsened,0.25,0.50
commercial-grade,0.00,0.75
wretched,0.00,0.88
less,0.13,0.38
low-grade,0.22,0.78
second-rate,0.22,0.78
ropy,0.13,0.75
stunted,0.13,0.75
second-class,0.00,0.75
third-rate,0.13,0.50
utility-grade,0.00,0.75
superior,0.00,0.00
inferior,0.00,0.00
superjacent,0.00,0.00
incumbent,0.00,0.00
superimposed,0.00,0.00
superincumbent,0.00,0.00
subjacent,0.00,0.13
underlying,0.00,0.00
superscript,0.00,0.00
subscript,0.00,0.00
adscript,0.00,0.00
supervised,0.00,0.00
unsupervised,0.13,0.50
unattended,0.00,0.13
supported,0.00,0.00
based,0.00,0.00
buttressed,0.00,0.00
gimbaled,0.00,0.00
pendent,0.00,0.25
supernatant,0.00,0.00
suspended,0.00,0.00
underhung,0.00,0.00
underslung,0.00,0.00
unsupported,0.13,0.63
strapless,0.00,0.00
unbraced,0.38,0.50
supported,0.25,0.00
subsidized,0.00,0.00
unsupported,0.00,0.75
wild,0.00,0.50
unbacked,0.00,0.25
unsubstantiated,0.00,0.00
assisted,0.00,0.00
motor-assisted,0.00,0.00
power-assisted,0.00,0.38
unassisted,0.13,0.25
naked,0.13,0.50
unaided,0.00,0.38
supportive,0.13,0.00
auxiliary,0.00,0.00
accessory,0.38,0.00
certificatory,0.38,0.13
verifying,0.00,0.00
demonstrative_of,0.38,0.00
supporting,0.00,0.00
unsupportive,0.00,0.63
contradictory,0.00,0.63
invalidating,0.00,0.88
surmountable,0.50,0.00
superable,0.50,0.13
unsurmountable,0.00,0.75
unconquerable,0.00,0.75
surprised,0.13,0.25
stunned,0.75,0.25
thunderstruck,0.13,0.13
gobsmacked,0.13,0.38
popeyed,0.13,0.13
jiggered,0.00,0.25
startled,0.00,0.25
unsurprised,0.00,0.50
surprising,0.00,0.63
astonishing,0.50,0.25
startling,0.00,0.13
stunning,0.00,0.63
unsurprising,0.50,0.25
susceptible,0.50,0.00
supersensitized,0.00,0.25
amenable,0.13,0.50
subject,0.00,0.13
suasible,0.13,0.25
pliable,0.13,0.13
unresistant,0.13,0.38
predisposed,0.13,0.13
tractable,0.00,0.13
suggestible,0.13,0.25
temptable,0.25,0.38
unvaccinated,0.13,0.63
vulnerable,0.00,0.38
unsusceptible,0.13,0.75
resistant,0.00,0.13
vaccinated,0.50,0.38
immunogenic,0.00,0.00
incapable,0.00,0.63
unsuasible,0.00,0.75
unresponsive,0.00,0.75
waxy,0.50,0.00
easy,0.38,0.00
spinnable,0.63,0.00
pliant,0.00,0.00
susceptible,0.25,0.13
unimpressionable,0.00,0.75
exempt,0.00,0.50
excused,0.00,0.00
immune,0.38,0.00
privileged,0.13,0.63
nonexempt,0.00,0.63
liable,0.00,0.13
taxpaying,0.00,0.50
unexcused,0.00,0.25
scheduled,0.13,0.00
regular,0.00,0.00
unscheduled,0.00,0.63
special,0.00,0.00
forced,0.00,0.00
sweet,0.00,0.00
dry,0.00,0.75
brut,0.00,0.50
medium-dry,0.00,0.00
unsweet,0.00,0.00
sweet,0.00,0.00
treacly,0.25,0.38
sweetish,0.13,0.00
sour,0.00,0.50
astringent,0.13,0.38
vinegary,0.00,0.25
acidulous,0.13,0.38
tart,0.00,0.25
subacid,0.13,0.38
soured,0.00,0.75
turned,0.00,0.25
unsoured,0.00,0.63
unfermented,0.00,0.75
suspected,0.25,0.00
unsuspected,0.13,0.75
unknown,0.00,0.63
swept,0.38,0.00
sweptback,0.00,0.00
sweptwing,0.00,0.00
unswept,0.00,0.75
sworn,0.00,0.25
bound,0.00,0.00
unsworn,0.00,0.63
symmetrical,0.00,0.00
isobilateral,0.00,0.00
biradial,0.38,0.13
cruciform,0.00,0.00
regular,0.00,0.25
interchangeable,0.00,0.00
isosceles,0.00,0.00
stellate,0.00,0.00
radially_symmetrical,0.00,0.00
trigonal,0.00,0.13
asymmetrical,0.00,0.38
lopsided,0.00,0.00
noninterchangeable,0.00,0.13
unsymmetrical,0.13,0.25
actinomorphous,0.00,0.00
actinoid,0.00,0.00
zygomorphous,0.00,0.00
sympathetic,0.38,0.25
commiserative,0.13,0.63
condolent,0.00,0.00
empathic,0.38,0.00
unsympathetic,0.00,0.88
unsympathizing,0.00,0.63
sympathetic,0.13,0.38
unsympathetic,0.13,0.38
sympatric,0.00,0.00
allopatric,0.00,0.00
synchronic,0.00,0.00
historical,0.00,0.00
synchronous,0.00,0.00
contemporaneous,0.00,0.00
coexisting,0.00,0.00
simultaneous,0.00,0.00
contemporary,0.00,0.00
parallel,0.00,0.00
synchronic,0.00,0.00
synchronized,0.00,0.00
asynchronous,0.00,0.63
allochronic,0.00,0.00
anachronous,0.00,0.00
unsynchronous,0.00,0.25
serial,0.00,0.00
synchronous,0.00,0.00
asynchronous,0.00,0.00
syndetic,0.00,0.00
asyndetic,0.00,0.25
synonymous,0.00,0.00
similar,0.00,0.13
substitutable,0.00,0.63
antonymous,0.00,0.00
complementary,0.00,0.63
contradictory,0.00,0.38
contrary,0.25,0.00
incompatible,0.00,0.00
converse,0.00,0.00
systematic,0.00,0.50
unsystematic,0.00,0.13
taciturn,0.00,0.13
buttoned-up,0.00,0.75
untalkative,0.00,0.00
voluble,0.25,0.00
talky,0.25,0.38
tactful,0.50,0.00
discreet,0.50,0.13
untactful,0.38,0.50
tall,0.50,0.00
rangy,0.00,0.00
in_height,0.00,0.13
long-shanked,0.13,0.00
tall-growing,0.00,0.13
long,0.25,0.13
tall-stalked,0.00,0.00
statuesque,0.50,0.00
tallish,0.13,0.00
short,0.13,0.75
stumpy,0.00,0.00
thickset,0.00,0.00
half-length,0.00,0.00
sawn-off,0.13,0.50
short-stalked,0.00,0.00
squabby,0.00,0.00
tamed,0.00,0.00
broken_in,0.13,0.00
cultivated,0.13,0.00
gentle,0.50,0.00
domesticated,0.13,0.00
tamed,0.50,0.00
wild,0.00,0.75
savage,0.00,0.38
semi-wild,0.13,0.00
unbroken,0.00,0.63
undomesticated,0.00,0.50
tame,0.25,0.13
subdued,0.00,0.00
wild,0.25,0.25
disorderly,0.00,0.63
unrestrained,0.50,0.25
manic,0.00,0.63
unsubdued,0.00,0.00
touchable,0.50,0.00
tactual,0.00,0.38
intangible,0.13,0.63
tangible,0.00,0.00
real,0.00,0.00
realizable,0.63,0.00
intangible,0.00,0.63
tasteful,0.63,0.00
esthetic,0.88,0.00
unpretentious,0.75,0.00
tasteless,0.25,0.25
barbaric,0.00,0.38
trashy,0.00,0.50
brummagem,0.13,0.50
campy,0.25,0.50
off-colour,0.63,0.25
pretentious,0.00,0.50
tasty,0.63,0.25
sour-tasting,0.00,0.50
nectarous,0.75,0.25
bitter,0.00,0.38
sharp-tasting,0.13,0.13
semisweet,0.13,0.25
choice,0.75,0.13
dainty,0.63,0.25
yummy,0.75,0.25
saporous,0.00,0.50
fruity,0.00,0.25
robust,0.13,0.13
peppery,0.00,0.50
gingery,0.25,0.25
spicy,0.00,0.00
grapy,0.25,0.25
mild-tasting,0.00,0.00
nippy,0.00,0.50
nutty,0.00,0.25
zesty,0.38,0.50
pungent,0.25,0.00
salty,0.00,0.13
smoky,0.00,0.25
sour,0.00,0.25
strong-flavored,0.25,0.00
winy,0.13,0.25
tasteless,0.13,0.25
vapid,0.00,0.38
unflavoured,0.00,0.13
unseasoned,0.00,0.50
taxable,0.00,0.00
assessable,0.50,0.00
dutiable,0.00,0.00
rateable,0.00,0.00
nontaxable,0.00,0.38
duty-free,0.00,0.13
untaxed,0.00,0.00
unratable,0.00,0.00
temperate,0.13,0.75
light,0.63,0.13
restrained,0.50,0.00
intemperate,0.00,0.38
heavy,0.38,0.25
temperate,0.00,0.38
cold-temperate,0.50,0.13
equable,0.00,0.25
intemperate,0.00,0.13
tense,0.00,0.00
overstrung,0.00,0.00
tight,0.00,0.00
lax,0.13,0.50
sagging,0.00,0.50
limp,0.13,0.50
floppy,0.00,0.00
slack,0.00,0.63
loose-jointed,0.38,0.00
tensionless,0.50,0.25
tense,0.00,0.00
constricted,0.00,0.00
lax,0.00,0.00
tense,0.00,0.00
wound_up,0.00,0.00
suspensive,0.00,0.50
taut,0.00,0.25
itchy,0.00,0.63
uptight,0.00,0.00
electric,0.00,0.00
isotonic,0.00,0.00
nervous,0.13,0.00
strained,0.25,0.00
unrelaxed,0.00,0.38
wired,0.00,0.38
relaxed,0.00,0.63
degage,0.63,0.00
mellow,0.13,0.50
unstrained,0.25,0.13
hypertonic,0.00,0.00
hypotonic,0.00,0.50
territorial,0.00,0.00
jurisdictional,0.00,0.00
regional,0.00,0.00
sectional,0.00,0.00
extraterritorial,0.00,0.00
territorial,0.38,0.00
nonterritorial,0.00,0.13
thermoplastic,0.00,0.00
thermosetting,0.00,0.00
thick,0.00,0.00
deep,0.00,0.00
deep-chested,0.00,0.00
fat,0.00,0.00
four-ply,0.25,0.00
heavy,0.00,0.00
heavy,0.00,0.00
quilted,0.13,0.00
thickened,0.00,0.00
three-ply,0.25,0.00
two-ply,0.25,0.00
thin,0.00,0.00
bladed,0.00,0.00
hairlike,0.00,0.00
flat,0.13,0.00
depressed,0.13,0.00
vapourous,0.00,0.00
thready,0.13,0.00
fine,0.13,0.00
light,0.25,0.00
hyperfine,0.50,0.00
paper_thin,0.00,0.00
papery,0.13,0.00
ribbony,0.13,0.00
sleazy,0.00,0.00
slender,0.00,0.00
tenuous,0.13,0.00
wafer-thin,0.13,0.00
thick,0.00,0.00
clotted,0.00,0.00
coagulable,0.50,0.00
grumous,0.00,0.00
creamy,0.00,0.00
impenetrable,0.00,0.00
jellylike,0.00,0.00
thready,0.00,0.00
soupy,0.00,0.00
viscous,0.25,0.00
thickened,0.00,0.00
thin,0.00,0.13
tenuous,0.00,0.00
rarified,0.25,0.50
thinkable,0.50,0.00
ponderable,0.00,0.00
imaginable,0.00,0.13
surmisable,0.13,0.00
unthinkable,0.00,0.63
unimaginable,0.50,0.38
thoughtful,0.63,0.00
preoccupied,0.13,0.00
ruminative,0.25,0.00
cogitative,0.13,0.00
well_thought_out,0.38,0.13
deliberative,0.38,0.13
excogitative,0.25,0.00
thoughtless,0.63,0.00
unconsidered,0.38,0.38
unthoughtful,0.00,0.75
thrifty,0.50,0.00
stinting,0.00,0.25
penny-wise,0.25,0.13
saving,0.38,0.25
wasteful,0.13,0.38
spendthrift,0.00,0.13
pound-foolish,0.00,0.13
uneconomical,0.00,0.38
tidy,0.63,0.00
trim,0.50,0.00
orderly,0.50,0.38
neat,0.50,0.00
ruly,0.63,0.25
well-kept,0.25,0.50
slicked_up,0.38,0.00
straight,0.25,0.25
unlittered,0.00,0.50
untidy,0.13,0.63
sluttish,0.00,0.00
littered,0.00,0.50
tousled,0.13,0.75
topsy-turvy,0.38,0.50
slovenly,0.00,0.50
mussy,0.00,0.88
scraggly,0.00,0.25
sloppy,0.00,0.25
slouchy,0.00,0.38
straggly,0.00,0.13
unkempt,0.00,0.75
groomed,0.63,0.00
brushed,0.13,0.00
tidy,0.38,0.00
slicked,0.00,0.00
pomaded,0.13,0.00
sleek,0.38,0.00
well-groomed,0.13,0.75
